Datetime,Open,High,Low,Close,Volume
2023-08-21 02:30:00,1681.14,1681.39,1676.73,1677.45,480.74642
2023-08-21 02:45:00,1677.45,1679.4,1677.45,1678.94,109.17437
2023-08-21 03:00:00,1678.94,1679.95,1678.83,1678.83,37.05028
2023-08-21 03:15:00,1678.83,1680.0,1677.18,1678.8,171.17842
2023-08-21 03:30:00,1678.8,1678.8,1677.04,1677.05,147.53647
2023-08-21 03:45:00,1677.05,1677.71,1675.6,1677.17,276.45331
2023-08-21 04:00:00,1677.17,1677.17,1675.33,1676.8,269.02233
2023-08-21 04:15:00,1676.8,1676.8,1675.2,1676.36,122.15355
2023-08-21 04:30:00,1676.36,1676.37,1675.07,1676.19,148.12703
2023-08-21 04:45:00,1676.19,1676.77,1675.61,1676.39,98.13108
2023-08-21 05:00:00,1676.39,1678.18,1676.2,1677.61,180.86278
2023-08-21 05:15:00,1677.61,1682.6,1676.46,1682.59,288.16374
2023-08-21 05:30:00,1682.59,1688.6,1678.66,1680.42,1622.32335
2023-08-21 05:45:00,1680.42,1681.73,1677.71,1678.14,290.58435
2023-08-21 06:00:00,1678.14,1679.65,1677.05,1677.8,138.08993
2023-08-21 06:15:00,1677.8,1678.13,1674.97,1677.85,416.11507
2023-08-21 06:30:00,1677.85,1677.85,1672.4,1673.76,510.40729
2023-08-21 06:45:00,1673.76,1674.0,1670.93,1671.31,455.92799
2023-08-21 07:00:00,1671.31,1672.55,1670.77,1672.2,228.97951
2023-08-21 07:15:00,1672.2,1673.3,1670.2,1670.2,274.94817
2023-08-21 07:30:00,1670.2,1672.98,1669.9,1672.6,197.01144
2023-08-21 07:45:00,1672.6,1673.09,1670.44,1671.8,256.09602
2023-08-21 08:00:00,1671.8,1672.8,1670.96,1671.17,186.75033
2023-08-21 08:15:00,1671.17,1674.39,1669.62,1673.99,499.6317
2023-08-21 08:30:00,1673.99,1675.19,1672.21,1672.41,550.3345
2023-08-21 08:45:00,1672.41,1672.6,1669.6,1672.57,329.54648
2023-08-21 09:00:00,1672.57,1674.36,1671.64,1674.31,263.61147
2023-08-21 09:15:00,1674.31,1674.8,1673.81,1674.05,95.54872
2023-08-21 09:30:00,1674.05,1674.05,1671.23,1671.23,189.17497
2023-08-21 09:45:00,1671.23,1671.39,1669.6,1671.01,285.73286
2023-08-21 10:00:00,1671.01,1671.01,1660.23,1667.47,1763.57242
2023-08-21 10:15:00,1667.47,1669.81,1666.35,1668.09,1263.84751
2023-08-21 10:30:00,1668.09,1668.57,1664.41,1665.4,961.57829
2023-08-21 10:45:00,1665.4,1666.97,1662.4,1666.97,643.07989
2023-08-21 11:00:00,1666.97,1668.56,1666.46,1667.16,571.93421
2023-08-21 11:15:00,1667.16,1670.13,1666.61,1669.87,326.6179
2023-08-21 11:30:00,1669.87,1671.73,1669.86,1671.73,156.34579
2023-08-21 11:45:00,1671.73,1673.34,1670.06,1672.7,503.92362
2023-08-21 12:00:00,1672.7,1675.96,1672.7,1675.41,913.2503
2023-08-21 12:15:00,1675.41,1675.56,1673.5,1673.86,488.78764
2023-08-21 12:30:00,1673.86,1674.2,1672.22,1673.62,210.50526
2023-08-21 12:45:00,1673.62,1674.0,1670.2,1670.79,457.37013
2023-08-21 13:00:00,1670.79,1672.2,1669.6,1670.02,253.50123
2023-08-21 13:15:00,1670.02,1670.03,1667.27,1668.6,363.53189
2023-08-21 13:30:00,1668.6,1672.21,1668.6,1670.47,547.90741
2023-08-21 13:45:00,1670.47,1678.0,1668.6,1677.79,495.25864
2023-08-21 14:00:00,1677.79,1683.77,1673.84,1675.81,1464.45985
2023-08-21 14:15:00,1675.81,1676.55,1672.19,1672.19,679.36059
2023-08-21 14:30:00,1672.19,1676.34,1671.92,1675.01,361.72063
2023-08-21 14:45:00,1675.01,1676.48,1674.01,1674.02,228.46494
